timestamp,1,CLOSE-WAIT,ESTAB,FIN-WAIT-1,FIN-WAIT-2,LISTEN,SYN-RECV,SYN-SENT
Sun Jan 13 19:00:56 GMT 2013,0,0,0,0,0,0,0,0
Sun Jan 13 19:00:57 GMT 2013,0,0,0,0,0,0,0,0
Sun Jan 13 19:01:03 GMT 2013,0,0,0,0,0,0,0,0
Sun Jan 13 19:01:04 GMT 2013,0,0,0,0,0,0,0,0
Sun Jan 13 19:01:05 GMT 2013,0,0,0,0,0,0,0,0
Sun Jan 13 19:01:06 GMT 2013,0,0,0,0,0,0,0,0
Sun Jan 13 19:01:07 GMT 2013,0,0,0,0,0,0,0,0
Sun Jan 13 19:01:37 GMT 2013,0,0,0,0,0,1,0,0
Sun Jan 13 19:01:38 GMT 2013,0,0,0,0,0,1,0,0
Sun Jan 13 19:01:39 GMT 2013,0,0,0,0,0,1,0,0
Sun Jan 13 19:01:40 GMT 2013,0,0,0,0,0,1,0,0
Sun Jan 13 19:01:41 GMT 2013,0,0,0,0,0,1,0,0
Sun Jan 13 19:01:42 GMT 2013,0,0,427,0,0,1,0,0
Sun Jan 13 19:01:43 GMT 2013,0,0,1808,0,0,1,0,0
Sun Jan 13 19:01:44 GMT 2013,0,0,2779,0,0,1,0,0
Sun Jan 13 19:01:46 GMT 2013,0,0,3986,0,0,1,0,0
Sun Jan 13 19:01:47 GMT 2013,0,0,5289,0,0,1,0,0
Sun Jan 13 19:01:48 GMT 2013,0,0,6464,0,0,1,0,0
Sun Jan 13 19:01:50 GMT 2013,0,0,7973,0,0,1,0,0
Sun Jan 13 19:01:51 GMT 2013,0,0,9022,0,0,1,0,0
Sun Jan 13 19:01:53 GMT 2013,0,0,10075,0,0,1,0,0
Sun Jan 13 19:01:54 GMT 2013,0,0,11642,0,0,1,0,0
Sun Jan 13 19:01:55 GMT 2013,0,0,12806,0,0,1,0,0
Sun Jan 13 19:01:57 GMT 2013,0,0,13975,0,0,1,0,0
Sun Jan 13 19:01:58 GMT 2013,0,0,15461,0,0,1,0,0
Sun Jan 13 19:02:00 GMT 2013,0,0,16608,0,0,1,0,0
Sun Jan 13 19:02:01 GMT 2013,0,0,17974,0,0,1,0,0
Sun Jan 13 19:02:03 GMT 2013,0,0,19226,0,0,1,0,0
Sun Jan 13 19:02:04 GMT 2013,0,0,20393,0,0,1,0,0
Sun Jan 13 19:02:06 GMT 2013,0,0,21964,0,0,1,0,1
Sun Jan 13 19:02:07 GMT 2013,0,0,23076,0,0,1,0,0
Sun Jan 13 19:02:09 GMT 2013,0,0,24186,0,0,1,0,0
Sun Jan 13 19:02:10 GMT 2013,0,0,25878,0,0,1,0,0
Sun Jan 13 19:02:12 GMT 2013,0,0,27012,0,0,1,0,0
Sun Jan 13 19:02:13 GMT 2013,0,0,28096,0,0,1,0,0
Sun Jan 13 19:02:15 GMT 2013,0,0,29837,0,0,1,0,0
Sun Jan 13 19:02:16 GMT 2013,0,0,31122,0,0,1,2,19
Sun Jan 13 19:02:18 GMT 2013,0,0,32578,0,0,1,0,0
Sun Jan 13 19:02:20 GMT 2013,0,0,33972,0,0,1,0,0
Sun Jan 13 19:02:21 GMT 2013,0,0,35587,0,0,1,0,0
Sun Jan 13 19:02:23 GMT 2013,0,0,36860,0,0,1,0,0
Sun Jan 13 19:02:24 GMT 2013,0,0,38045,0,0,1,0,0
Sun Jan 13 19:02:26 GMT 2013,0,0,39798,0,0,1,0,9
Sun Jan 13 19:02:28 GMT 2013,0,0,40510,0,0,1,0,0
Sun Jan 13 19:02:29 GMT 2013,0,0,41983,0,0,1,0,0
Sun Jan 13 19:02:31 GMT 2013,0,0,43811,0,0,1,0,0
Sun Jan 13 19:02:33 GMT 2013,0,0,45456,0,0,1,0,0
Sun Jan 13 19:02:35 GMT 2013,0,0,47092,0,0,1,0,0
Sun Jan 13 19:02:37 GMT 2013,0,0,48577,0,0,1,0,71
Sun Jan 13 19:02:39 GMT 2013,0,0,50340,0,0,1,0,0
Sun Jan 13 19:02:41 GMT 2013,0,0,52013,0,0,1,0,0
Sun Jan 13 19:02:43 GMT 2013,0,0,53452,0,0,1,0,0
Sun Jan 13 19:02:45 GMT 2013,0,0,54723,0,0,1,0,0
Sun Jan 13 19:02:48 GMT 2013,0,0,55149,0,0,1,0,0
Sun Jan 13 19:02:50 GMT 2013,0,0,55240,0,0,1,0,0
Sun Jan 13 19:02:53 GMT 2013,0,0,55358,0,0,1,0,0
Sun Jan 13 19:02:56 GMT 2013,0,0,55485,0,0,1,0,0
Sun Jan 13 19:02:59 GMT 2013,0,0,55634,0,0,1,0,0
Sun Jan 13 19:03:02 GMT 2013,0,0,55750,0,0,1,0,0
Sun Jan 13 19:03:05 GMT 2013,0,0,55837,0,0,1,0,0
Sun Jan 13 19:03:08 GMT 2013,0,0,55952,0,0,1,0,0
Sun Jan 13 19:03:10 GMT 2013,0,0,56013,0,0,1,0,0
Sun Jan 13 19:03:12 GMT 2013,0,0,56129,0,0,1,0,0
Sun Jan 13 19:03:15 GMT 2013,0,0,56240,0,0,1,0,0
Sun Jan 13 19:03:18 GMT 2013,0,0,56326,0,0,1,0,0
Sun Jan 13 19:03:21 GMT 2013,0,0,56457,0,0,1,0,0
Sun Jan 13 19:03:23 GMT 2013,0,0,56649,0,0,1,0,0
Sun Jan 13 19:03:27 GMT 2013,0,0,56832,0,0,1,0,0
Sun Jan 13 19:03:30 GMT 2013,0,0,56932,0,0,1,0,0
Sun Jan 13 19:03:34 GMT 2013,0,0,57105,0,0,1,0,0
Sun Jan 13 19:03:37 GMT 2013,0,0,57212,0,0,1,0,0
Sun Jan 13 19:03:40 GMT 2013,0,0,57340,0,0,1,0,0
Sun Jan 13 19:03:43 GMT 2013,0,0,57481,0,0,1,0,0
Sun Jan 13 19:03:46 GMT 2013,0,0,57584,0,0,1,0,0
Sun Jan 13 19:03:49 GMT 2013,0,0,57705,0,0,1,0,0
Sun Jan 13 19:03:52 GMT 2013,0,0,57800,0,0,1,0,0
Sun Jan 13 19:03:55 GMT 2013,0,0,57916,0,0,1,0,0
Sun Jan 13 19:03:58 GMT 2013,0,0,57987,0,0,1,0,0
Sun Jan 13 19:04:01 GMT 2013,0,0,58110,0,0,1,0,0
Sun Jan 13 19:04:04 GMT 2013,0,0,58235,0,0,1,0,0
Sun Jan 13 19:04:07 GMT 2013,0,0,58359,0,0,1,0,0
Sun Jan 13 19:04:11 GMT 2013,0,0,58431,0,0,1,0,0
Sun Jan 13 19:04:13 GMT 2013,0,0,58491,0,0,1,0,0
Sun Jan 13 19:04:16 GMT 2013,0,0,58600,0,0,1,0,0
Sun Jan 13 19:04:19 GMT 2013,0,0,58741,0,0,1,0,0
Sun Jan 13 19:04:22 GMT 2013,0,0,58878,0,0,1,0,0
Sun Jan 13 19:04:26 GMT 2013,0,0,58997,0,0,1,0,0
Sun Jan 13 19:04:29 GMT 2013,0,0,59131,0,0,1,0,0
Sun Jan 13 19:04:32 GMT 2013,0,0,59258,0,0,1,0,0
Sun Jan 13 19:04:35 GMT 2013,0,0,59358,0,0,1,0,0
Sun Jan 13 19:04:38 GMT 2013,0,0,59461,0,0,1,0,0
Sun Jan 13 19:04:40 GMT 2013,0,0,59547,0,0,1,0,0
Sun Jan 13 19:04:44 GMT 2013,0,0,59654,0,0,1,0,0
Sun Jan 13 19:04:47 GMT 2013,0,0,59863,0,0,1,0,0
Sun Jan 13 19:04:50 GMT 2013,0,0,59916,0,0,1,0,0
Sun Jan 13 19:04:53 GMT 2013,0,0,59974,0,0,1,0,0
Sun Jan 13 19:04:56 GMT 2013,0,0,60136,0,0,1,0,0
Sun Jan 13 19:04:59 GMT 2013,0,0,60261,0,0,1,0,0
Sun Jan 13 19:05:02 GMT 2013,0,0,60354,0,0,1,0,0
Sun Jan 13 19:05:05 GMT 2013,0,0,60485,0,0,1,0,0
Sun Jan 13 19:05:08 GMT 2013,0,0,60583,0,0,1,0,0
Sun Jan 13 19:05:11 GMT 2013,0,0,60666,0,0,1,0,0
Sun Jan 13 19:05:14 GMT 2013,0,0,60813,0,0,1,0,0
Sun Jan 13 19:05:18 GMT 2013,0,0,60907,0,0,1,0,0
Sun Jan 13 19:05:21 GMT 2013,0,0,61030,0,0,1,0,0
Sun Jan 13 19:05:25 GMT 2013,0,0,61174,0,0,1,0,0
Sun Jan 13 19:05:28 GMT 2013,0,0,61329,0,0,1,0,0
Sun Jan 13 19:05:31 GMT 2013,0,0,61422,0,0,1,0,0
Sun Jan 13 19:05:33 GMT 2013,0,0,61482,0,0,1,0,0
Sun Jan 13 19:05:36 GMT 2013,0,0,61644,0,0,1,0,0
Sun Jan 13 19:05:39 GMT 2013,0,0,61755,0,0,1,0,0
Sun Jan 13 19:05:42 GMT 2013,0,0,61800,0,0,1,0,0
Sun Jan 13 19:05:45 GMT 2013,0,0,61855,0,0,1,0,0
Sun Jan 13 19:05:49 GMT 2013,0,0,61953,0,0,1,0,0
Sun Jan 13 19:05:52 GMT 2013,0,0,62072,0,0,1,0,0
Sun Jan 13 19:05:55 GMT 2013,0,0,62281,0,0,1,0,0
Sun Jan 13 19:05:58 GMT 2013,0,0,62469,0,0,1,0,0
Sun Jan 13 19:06:02 GMT 2013,0,0,62629,0,0,1,0,0
Sun Jan 13 19:06:05 GMT 2013,0,0,62773,0,0,1,0,0
Sun Jan 13 19:06:08 GMT 2013,0,0,62849,0,0,1,0,0
Sun Jan 13 19:06:11 GMT 2013,0,0,62922,0,0,1,0,0
Sun Jan 13 19:06:14 GMT 2013,0,0,63031,0,0,1,0,0
Sun Jan 13 19:06:17 GMT 2013,0,0,63104,0,0,1,0,0
Sun Jan 13 19:06:19 GMT 2013,0,0,63219,0,0,1,0,0
Sun Jan 13 19:06:23 GMT 2013,0,0,63295,0,0,1,0,0
Sun Jan 13 19:06:26 GMT 2013,0,0,63390,0,0,1,0,0
Sun Jan 13 19:06:28 GMT 2013,0,0,63523,0,0,1,0,0
Sun Jan 13 19:06:31 GMT 2013,0,0,63656,0,0,1,0,0
Sun Jan 13 19:06:34 GMT 2013,0,0,63779,0,0,1,0,0
Sun Jan 13 19:06:37 GMT 2013,0,0,63875,0,0,1,0,0
Sun Jan 13 19:06:40 GMT 2013,0,0,63950,0,0,1,0,0
Sun Jan 13 19:06:43 GMT 2013,0,0,63979,0,0,1,0,0
